PRG,County,Use,Address,City,State,TAX ID ,Tax ID ,Map/ Grid/ Parcel,Legal Desc.,Grantor,Grantee,Sale Date,Deed,Property Rights,Conditions at Sale,Time on Market,Sale Price,Price/GBA,Vacancy,NOI,CAP RATE,LAND SIZE (SF),GBA (SF),YEAR BUILT,Parking,Zone,Utilities,APT ONLY,APT ONLY,APT ONLY,APT ONLY,Comments
01-2016-30600-001,Montgomery,Mixed,12801 Middlebrook Road,Germantown,MD,9,775965,P724/ Subdivision 1,,Douglas and Robin Pincock,CCR Properties LLC,8/8/2018,18512/ 527,Leased Fee,Arms-Length,65,"$615,000.00 ",$274.55 ,0.00%,Unknown,Unknown,"21,769","2,240",1968,Onsite parking available,CR 1.0,All available,,,,,"At the time of the settlement, there was a 2,240 square foot mixed-use building in poor condition.  The main floor was office/residential apartment with former dental office.  The buyer purchased for long term redevelopment of the property but planned to owner occupy.  "
01-2016-23000-001,Montgomery,Restaurant,102 North Summit Avenue,Gaithersburg,MD,9,2907434,FT52/ 6/ Lot 18,,"102 North Summit Ave, LLC",PRP Holdings LLC,2/1/2018,55669/ 276,Leased Fee,Arms-Length,341,"$385,000.00 ",$445.60 ,0.00%,Unknown,Unknown,"8,743",864,1977,Onsite parking available,CBD,All available,,,,,The property is improved with a one-story single tenant restaurant building with basement storage area.  There are seven parking spaces on site.  Purchaser planned to expand owner occupied pizza restaurant from Rockville to Gaithersburg.  Property was well maintained as a light restaurant but needed cosmetic conversion for Pizza Restaurant use.  
01-2016-40000-002,Montgomery,Professional Office,305 South Frederick Avenue,Gaithersburg,MD,9,835375,P448/  Subdivision 207,,Tehrani,The City of Gaithersburg,9/18/2017,55098/ 165,Leased Fee,Arms-Length,Unknown,"$311,450.00 ",$287.32 ,0.00%,Unknown,Unknown,"7,916","1,084",,Onsite parking available,CD,All available,,,,,"At the time of the settlement, there was a 1,084 square foot office building in fair condition.  "
01-2022-02000-001,Washington,Res Condo,"1022 Brinker Road, Unit 101",Hagerstown,MD,17,2716,315/ Parcel 1250,"Woodcrest Condo, Phase 1E",Stacia Roberts,Anna Deyo,10/30/2019,6100/ 454,Condo,Arms-Length,Unknown,"$74,500.00 ",$75.94 ,0.00%,Unknown,Unknown,N/A,981,1977,Onsite parking available,RH,All available,,,,,Property includes a two bedroom/ one bathroom residential condominium unit.  
01-2022-02000-002,Washington,Res Condo,"1002 Brinker Road, Unit 101",Hagerstown,MD,17,13742,315/ Parcel 1190,Woodcrest Condo,Karen Combs,Lennard Murphy,8/5/2019,6034/ 357,Condo,Arms-Length,Unknown,"$78,000.00 ",$79.51 ,0.00%,Unknown,Unknown,N/A,981,1977,Onsite parking available,RH,All available,,,,,Property includes a two bedroom/ one bathroom residential condominium unit.  
01-2022-02000-003,Washington,Res Condo,"1006 Brinker Road, Unit 101",Hagerstown,MD,17,918,315/ Parcel 1202,Woodcrest Condo,Raymond Stacer,Denise Kuhna,6/26/2019,6066/102,Condo,Arms-Length,Unknown,"$74,500.00 ",$75.94 ,0.00%,Unknown,Unknown,N/A,981,1977,Onsite parking available,RH,All available,,,,,Property includes a two bedroom/ one bathroom residential condominium unit.  
01-2022-02000-004,Washington,Res Condo,"1000 Brinker Road, Unit 301",Hagerstown,MD,17,13947,315/ Parcel 1189,Woodcrest Condo,Sumedha Chaudhry,Kevin Dick,5/24/2019,5981/ 397,Condo,Arms-Length,Unknown,"$74,500.00 ",$88.17 ,0.00%,Unknown,Unknown,N/A,845,1977,Onsite parking available,RH,All available,,,,,Property includes a one bedroom/ one bathroom residential condominium unit.  
01-2011-23000-003,Frederick,Restaurant,640 Souder Road,Brunswick,MD,25,480066,202/ 1668,S/S Souder Road,Zeke's LLC,Souder LLC,11/29/2016,11527/ 113,Fee Simple,Arms-Length,98,"$270,000.00 ",$160.71 ,0.00%,Unknown,Unknown,"41,208","1,680",1965,Onsite parking available,GC,All available,,,,,"This comparable was built in 1965 and includes approximately 1,680 square feet of gross building area used as a single owner-occupied retail/light restaurant building.  The building includes a basement area with a concrete floor.  The building currently operates as a restaurant called, “Coach’s Deli.”  Property included low FAR for more than adequate parking.  The property was across street from Brunswick High School. "
01-2016-23000-002,Montgomery,Restaurant,26120 Woodfield Road,Damascus ,MD,12,931810,FX43/ P898,Pleasant Valley,John Travers,Roland Enterprises Inc,4/14/2016,51914/ 302,Fee Simple,Arms-Length,Unknown,"$400,000.00 ",$222.22 ,0.00%,Unknown,Unknown,"20,909","1,800",Unknown,Onsite parking available,CRT,All available,,,,,The building is currently used as a seafood market.
01-2011-30000-004,Frederick,Retail,202-204 Main Street,Thurmont,MD,15,326263,751/ 22/ 1620,Thurmont,Michael Morelli,202-204 Main Street LLC,11/5/2019,13321/ 455,Leased Fee,Arms-Length,Unknown,"$1,490,000.00 ",$68.50 ,0.00%,Unknown,Unknown,"32,400","21,752",1953,Onsite parking available,TB,All available,,,,,Multi-tenant retail building in downtown Thurmont.  100% occupancy at the time of sale.  
01-2004-30600-001,Baltimore,Mixed,5300-5302 East Drive,Halthorpe,MD,13,1311770381,101/ 23/ Parcel 1102/ Lot 8,Arbutus Terrace-Baldwin,5300 East LLC,5300 East Drive LLC,9/5/2019,41832/ 77,Leased Fee,Arms-Length Multiple,Unknown,"$830,000.00 ",$100.10 ,0.00%,Unknown,Unknown,"12,050","8,292",1950,Onsite parking available,BL & DR 5.5,All available,,,,,"The subject property is improved with Mixed-Use Building containing three retail units and seven residential units containing approximately 8,292 square feet of gross building area above grade. There is one efficiency, four one-bedroom and one-bathroom units. The building is concrete block construction, vinyl siding veneer, and flat rubber membrane roof system. Five of the residential units are in fair condition, however, there is considered extensive cosmetic deferred maintenance primarily in cabinetry and flooring. There is one unit in poor condition and was estimated at $18,500 in damages prior to occupancy. Damages include missing drywall, potential mold, cabinetry damage, and essentially rough-in restroom. Two of the retail units (5302 and Unit C) are in average (+) condition and have been well-maintained. Unit F is in fair (+) condition."
,,,Steven Avenue,,,,1311770382,108/ 5/ Parcel 615/ Lot 8,,,,,,,,,,,,,,,,,,,,,,,,
,,,1324 Steven Avenue,,,,1311770383,108/ 5/ Parcel 615/ Lot 10,,,,,,,,,,,,,,,,,,,,,,,,
01-2004-30600-002,Baltimore,Mixed,8110 Harford Road,Parkville,MD,9,916600680,81/ 2/ 296,,Cox,"SSV2, LLC",4/15/2019,41343/ 370,Leased Fee,Arms-Length,Unknown,"$280,000.00 ",$88.27 ,0.00%,Unknown,Unknown,"14,700","3,172",1931,Onsite parking available,BL/CCC,All available,,,,,The property is a mixed use: retail and two upstairs residential apartments.
01-2004-30600-003,Baltimore,Mixed,804 Ingleside Avenue,Catonsville,MD,1,102001171,95/ 20/ 64,,Von's International Hair Salon LLC,"Capfin Reality, LLC",11/5/2018,40906/ 338,Leased Fee,Arms-Length,135,"$450,000.00 ",$146.10 ,0.00%,Unknown,Unknown,"7,000","3,080",1940,Onsite parking available,BM,All available,,,,,The property is a mixed use: three retail units and one upper level apartment.
01-2004-30600-004,Baltimore,Mixed,406 Marlyn Avenue,Essex,MD,15,1504751500,97/ 3/ 368,,"Welsh, Dunkle and Short",Bower,9/7/2018,40678/ 1,Leased Fee,Arms-Length,Unknown,"$220,000.00 ",$91.36 ,0.00%,Unknown,Unknown,"7,500","2,408",1967,Onsite parking available,BL (Rear portion RO/DR3.5),All available,,,,,The property is a mixed use: retail and residential apartments. First floor formerly retail salon and currently locksmith office. Property also contains two apartment units.
01-2004-30600-005,Baltimore,Mixed,5306 East Drive,Halthorpe,MD,13,1309200000,108/ 5/ 615,,James and Cassandra Vain,"SJMH, LLC",3/8/2018,40061/ 108,Leased Fee,Arms-Length,168,"$160,000.00 ",$90.70 ,0.00%,Unknown,Unknown,"2,427","1,764",1950,Onsite parking available,BL,All available,,,,,The property is a mixed use: retail and residential apartment. The building included first floor retail one apartment one the second floor. Property did not contain off-street parking and was considered poor/fair condition at the time of sale.
01-2002-50000-001,Anne Arundel,Warehouse/ Flex,679 Cental Avenue,Edgewater,MD,1,2894522,60/ 8/ 13,,Terry Riley Trustee,Yoonchul Roh,5/29/2019,3316/ 1,Fee Simple,Arms-Length,456,"$455,000.00 ",$193.21 ,0.00%,Unknown,Unknown,"34,848","2,355",1977,Onsite parking available,C2,All available,,,,,Flex building orginally constructed in 1977.
01-2002-50000-002,Anne Arundel,Warehouse/ Flex,1155 Carrs Wharf Road,Edgewater,MD,1,90217017,60/ 174/ 53,,Central Properties Management,Carrs Wharf LLC,2/14/2019,32883/ 14,Leased Fee,Arms-Length,512,"$385,000.00 ",$184.21 ,0.00%,Unknown,Unknown,"43,560","2,090",Unknown,Onsite parking available,C1B,All available,,,,,The property is a flex use building with amble parking to accommodate many uses.  Property was in average condition at time of sale.
01-2002-50000-003,Anne Arundel,Warehouse/ Flex,6133 Shady Side Road,Shady Side,MD,7,90058983,69/ 17/ 556,,Rufus Creekmore ,John and Victor Carbone,2/16/2017,30653/ 455,Fee Simple,Arms-Length,Unknown,"$182,000.00 ",$135.82 ,0.00%,Unknown,Unknown,"14,684","1,340",1988,Onsite parking available,R1,All available,,,,,The property is a flex use building orginally constructed in 1988.  Property was in average condition at time of sale.
01-2022-30000-004,Washington,Retail,761 East Wilson Boulevard,Hagerstown,MD,17,18493,315/ Parcel 1127,,Kenley Village Associates,802 Bethel Associates,9/15/2017,5589/ 335,Leased Fee,Arms-Length,Unknown,"$4,600,000.00 ",$85.14 ,0.00%,Unknown,Unknown,"252,212","54,029",1988,Onsite parking available,R3,All available,,,,,"Retail building that was 94% leased at the time of sale, property was anchored by a grocery store.  Property includes 361 on-site parking spaces and the building was originally constructed in 1988."
01-2016-30000-003,Montgomery,Retail,15524 New Hampshire Avenue,Silver Spring,MD,5,26610,JS62/ Parcel P816,,Nicholas Perantonakis,Shahzad Haider,11/1/2018,56830/ 357,Leased Fee,Arms-Length,Unknown,"$650,000.00 ",$252.62 ,0.00%,Unknown,Unknown,"23,538","2,573",1930,Onsite parking available,NR,All available,,,,,Building originally constructed as a residential dwelling in 1930 and converted to a retail store.  Currently leased by a commercial electronics company.
01-2016-50710-001,Montgomery,Warehouse Condo,7887 Cessna Avenue,Gaithersburg,MD,1,2450872,GU21/ Block D/ Lot P6,Industrial Park Phase 1,Joseph Tolker,Christopher & Gehan Osgood,7/10/2019,57832/ 434,Leased Fee,Arms-Length,Unknown,"$279,000.00 ",$195.52 ,0.00%,Unknown,Unknown,"3,960","1,427",1984,Onsite parking available,IL,All available,,,,,"The subject property is a warehouse condominium unit has a total of 1,427 square feet of demised condominium area.  The main floor has one office, restroom and employee breakroom.  The remaining area of the condo is warehouse. The unit overall is in average condition.  According to Montgomery County records, the unit was built in 1984. "
01-2016-50710-002,Montgomery,Warehouse Condo,"7845 Airpark Road, Unit F",Gaithersburg,MD,1,2699417,GU21/ Block F,,Airpark Road LLC,LHS Airpark LLC,2/1/2019,57173/ 422,Condo,Arms-Length,Unknown,"$515,000.00 ",$210.00 ,0.00%,Unknown,Unknown,"5,328","2,454",1994,Onsite parking available,I4,All available,,,,,"The subject property is a warehouse condominium unit has a total of 2,454 square feet of demised condominium area.  The unit consists of a large 1,900 SF warehouse, reception area, offices, conference room and employee breakroom.  The unit overall is in good condition.  According to Montgomery County records, the unit was built in 1994. "
01-2022-50000-004,Washington,Warehouse/ Flex,924 Sweeney Drive,Hagerstown,MD,3,27325,49/ 9/ 606,,Dressel Welding Supple Inc,Store Master Funding XIII LLC,1/19/2018,5679/ 161,Fee Simple,Arms-Length,Unknown,"$354,943.00 ",$70.99 ,0.00%,Unknown,Unknown,"96,703","5,000",1995,Onsite parking available,IG,All available,,,,,This property  was owner/user at the time of sale.  Warehouse building was constructed in 1995.
01-2022-50000-005,Washington,Warehouse/ Flex,10303 Governor Lane Boulevard,Williamsport,MD,2,14645,56/ 9/ 836,,Maccaferri Gabions Inc,Williamsport Industrial Lane LLC,11/28/2017,5647/ 255,Leased Fee,Arms-Length,Unknown,"$2,225,000.00 ",$65.10 ,0.00%,Unknown,Unknown,"477,853","34,180",1974,Onsite parking available,PI,All available,,,,,This property is located on Governor Lane Blvd.  It was leased entirely to a single tenant at the time of sale.  Warehouse building was constructed in 1974.
01-2022-50000-006,Washington,Warehouse/ Flex,931 Sweeney Drive,Hagerstown,MD,3,274061,49/ 9/ 606,,Luann D. Myers,Electra LLC,4/4/2016,5195/ 151,Leased Fee,Arms-Length,Unknown,"$1,500,000.00 ",$75.00 ,0.00%,Unknown,Unknown,"102,366","20,000",1992,Onsite parking available,IG,All available,,,,,"This property improved with a warehouse/flex office building that has approximately 20,000 square feet of building area.  The office build out (20%) includes office and office related storage.  Clear span height in warehouse area is 16’.  Property under long-term lease to Hub City Sprinkler, Inc.  "
01-2016-30000-004,Montgomery,Retail,611 Frederick Avenue,Gaithersburg,MD,9,3628928,FS63/ Parcel N117,Par A Rashinian Estates,Radhidian Parviz Et Al,St Sons Holding LLC,7/12/2019,57857/ 170,Leased Fee,Arms-Length,1339,"$3,285,000.00 ",$245.15 ,0.00%,Unknown,Unknown,"174,444","13,400",1996,Onsite parking available,MXD,All available,,,,,"The property is improved with one commercial building.  The building was constructed in 1996 and has approximately 13,400 square feet of gross building area.  "
01-2016-30000-005,Montgomery,Retail,832 Rockville Pike,Rockville,MD,4,1442616,GR42/ Parcel P26,Rockville-Charles H Vietts Add,Hadjin Associates LLC,13913 Willard Road LLC,7/6/2017,54588/ 172,Fee Simple,Arms-Length,Unknown,"$3,850,000.00 ",$641.67 ,0.00%,Unknown,Unknown,"18,770","6,000",1976,Onsite parking available,MXCD,All available,,,,,"The property is improved with one retail building.  The building was constructed in 1976 and has approximately 6,000 square feet of gross building area.  The property is currently used as a liquor store. "
01-2017-40710-001,Prince George,Office Condo,"7237 Hanover Parkway, Units C & D",Greenbelt,MD,21,2409274,34/ Subdivision 4267,Hanover Office Park Phase III,Orem,Pure Foods Management Mid Atlantic LLC,8/13/2018,41320/ 1,Condo,Arms-Length,161,"$275,000.00 ",$161.38 ,0.00%,Unknown,Unknown,"4,376","1,704",1988,Onsite parking available,C-O,All available,,,,,"Two professional office condominium units that were well-maintained.  There were four private offices, open work area, reception, conference room, kitchen, and two restrooms.   "
,,,,,,,2409308,,,,,,,,,,,,,,,,,,,,,,,,,
01-2002-40710-001,Anne Arundel,Office Condo,"588 Bellerive Drive, Unit C",Annapolis,MD,3,204-90058943,40/ 9/ 461,Collge Pkwy Pl Off Ctr,Finker,"Chuck and Buffet, LLC",1/31/2018,31829/ 356,Condo,Arms-Length,154,"$200,000.00 ",$178.89 ,0.00%,Unknown,Unknown,Unknown,"1,118",Unknown,Onsite parking available,C2,All available,,,,,"This unit contained four offices, reception, small conference room, and kitchen. "
01-2016-30000-006,Montgomery,Retail,7324 Carroll Avenue,Takoma Park,MD,16,1801315,50/ C1/ Subd 5200,,Kessler,Cardella,7/19/2018,56471/ 236,Leased Fee,Arms-Length,Unknown,"$700,000.00 ",$254.64 ,0.00%,Unknown,Unknown,"4,713","2,749",1932,Onsite parking available,NR .75,All available,,,,,The property is improved with a single tenant retail store.  Property was in average condition renovated by the tenant who operates a hot yoga studio.  The property had a known history or mold due to the current use.  
01-2017-70000-001,Prince George,Daycare,906 Enterprise Road,Bowie,MD,13,1504125,68/ F2/ 298,,RLP Investment Group LLC,AIT Real Estate Holdings LLC,4/23/2019,42023/ 533,Fee Simple,Arms-Length,Unknown,"$550,000.00 ",$187.91 ,0.00%,Unknown,Unknown,"30,000","2,927",1957,Onsite parking available,R-R,All available,,,,,"The site is improved with partial two-story Day-Care Center containing approximately 2,927 square feet of gross building area.  According to Prince George’s County land records, the improvement was built in 1957.  According to the listing agent, the property owner spent approximately $330,000 in renovations to the site, interior, and ADA accessible renovations for daycare use.  During our inspection, we deemed this reasonable. The functionality of the site and interior were optimally planned and updated for the current approved use.  The building is designed for Daycare Center use and is well designed.  Overall, this building is in good condition with no interior deferred maintenance or site improvement noted.  However, the curb appeal is somewhat unusual, as it was originally residential use and has been converted.  The most likely user would consider signage.    "
01-2019-20000-001,Saint Mary's,Special Purpose,20948 Point Lookout Road,Callaway ,MD,2,26414,50/ 16/ 302,,Raley,"Sweet Caroline's Child Care, LLC",5/18/2018,4874/ 94,Fee Simple,Arms-Length,220,"$365,000.00 ",$163.31 ,0.00%,Unknown,Unknown,"57,064","2,235",1988,Onsite parking available,VMX,All available,,,,,"Building originally constructed in 1988.  The daycare has four classrooms with a 43-child capacity. Property was well-maintained and functionally adequate for daycare use.  However, the property suffered from some cosmetic deferred maintenance in the kitchen and bathrooms.     "
01-2019-40000-001,Saint Mary's,Professional Office,21945 Three Notch Road,Lexington Park,MD,8,30561,43/ 16/ 389,,Durkin's Realty PC,Roth Buildings LLC,6/17/2019,5097/ 88,Leased Fee,Arms-Length,Unknown,"$925,000.00 ",$112.69 ,44.44%,"$70,625.00 ",7.5,"30,884","8,208",1980,Onsite parking available,DMX,All available,,,,,"The subject property includes a Class C professional office building that includes approximately 8,208 square feet of gross building area and 7,070 square feet of leasable area (efficiency ratio of 86%).  At the time of this appraisal, the building includes seven office suites ranging in size from 170 to 1,490 square feet.  Approximately 33% of the office area (2,310 SF) is used by the building owner, with the remaining 4,720 divided among four tenants. "
01-2009-53000-001,Charles,Mini Storage,2298 Old Washington Road,Waldorf,MD,6,55907,8/ 11/ 295,,Rauhauser,Diamond Bay Management Group LLC,2/27/2019,10553/ 452,Leased Fee,Arms-Length,Unknown,"$705,000.00 ",$52.69 ,46.00%,Unknown,Unknown,"51,401","13,380",2002,Onsite parking available,CC,All available,,,,,Property was built in 2002 containing 113 self-storage units and room for outside vehicle storage. Property was poorly maintained with a lower than average occupancy (54%) than the standard 95% in the market area. Purchaser acquired as is.
01-2009-53000-002,Charles,Mini Storage,6015 Crain Highway,La Plata,MD,1,56859,33/ 8/ 14,,La Plata Self Storage LLC,NSA Property Holdings LLC,1/3/2019,10529/ 347,Leased Fee,Arms-Length,Unknown,"$4,050,000.00 ",$108.00 ,Unknown,Unknown,Unknown,"231,739","37,500",1995,Onsite parking available,L-1,All available,,,,,Property was built in 1995 containing 340 self-storage units. Units range from 5’ X 5’ – 10’ X 20’.
01-2011-50000-014,Frederick,Warehouse/ Flex,5719 Industry Lane,Frederick,MD,28,539782,77/ 15/ 204,,Kissner Limited Partnership,Stone Cuts LLC,6/15/2018,12468/ 429,Fee Simple,Arms-Length,Unknown,"$2,750,000.00 ",$70.89 ,Unknown,Unknown,Unknown,"84,506","38,794",1982,Onsite parking available,LI,All available,,,,,"Property includes approximately 21% office space, remainder is storage.  Property purchased by Kensington Glass."
01-2022-50000-007,Washington,Warehouse/ Flex,560 Western Maryland Parkway,Hagerstown,MD,3,28828,49/ 1/ 1174,,"Cosmo Films, Inc",Beaver Creek Farming LLC,12/10/2018,5884/ 126,Fee Simple,Arms-Length,Unknown,"$3,100,000.00 ",$96.11 ,Unknown,Unknown,Unknown,"520,542","36,000",1996,Onsite parking available,IR,All available,,,,,"Property purchased by owner-user for use cannabis production facility.  The purchaser plans to add a 40,000 square foot green house to the building."
01-2022-30600-001,Washington,Mixed,16 18 West Franklin Street,Hagerstown,MD,25,188,306/ Parcel 85,16/18 W Franklin St,Ionia Tansill,Pythian Cstle Hagerstown LLC,11/21/2019,6117/ 369,Leased Fee,Arms-Length,Unknown,"$465,000.00 ",$35.95 ,Unknown,Unknown,Unknown,"4,920","12,935",1907,No onsite parking available,CCMU,All available,,,,,"The property is currently improved with a three-story mixed-use: retail, office, and special purpose building that includes approximately 12,935 gross square feet of building area.  The building is stone masonry and brick construction.  The building was historically used as Knights of Pythias “Castle Hall” lodge in but has since been converted for mixed-use purposes.  Overall, the property is in poor (+) condition.   The property owners have plans to renovate and expand the property in two phases.  The renovations will include exterior, interior along the left sides of basement and first floor retail and expanded left alley with drainage."
01-2022-30600-002,Washington,Mixed,318 North Potomac Street,Hagerstown,MD,22,14722,308/ Parcel 308,,Sumac Corporation,Spectrum BRP LLC,1/31/2019,5913/ 372,Leased Fee,Arms-Length,Unknown,"$325,000.00 ",$50.89 ,0.00%,Unknown,Unknown,"9,840","4,618",1900,Onsite parking available,RO,All available,,,,,"According to Washington County land records, the property dates in 1900, and has been used as retail and office space.  Overall, the property was in fair (+) condition. "
01-2022-30600-003,Washington,Mixed,6-8 Washington Street,Hagerstown,MD,22,5545,306/ Parcel 581,,"Clock Tower Investments, LLC","Hagerstown Clocktower, LLC",11/30/2018,5881/ 201,Leased Fee,Arms-Length,Unknown,"$975,000.00 ",$47.12 ,Unknown,Unknown,Unknown,"6,621","20,690",1982,No onsite parking available,CCMU,All available,,,,,"This building contains 20,690 SFGBA operating as a mixed-use building.  The property was well-maintained."
01-2022-30600-004,Washington,Mixed,54 Potomac Street,Hagerstown,MD,17,22547,306/ Parcel 184,,Friendship Lodge No. 84 of Ancient Free and Accepted Masons Corp,Boman 2000 LLC,8/24/2018,5560/ 126,Leased Fee,Arms-Length,442,"$775,000.00 ",$42.28 ,Unknown,Unknown,Unknown,"9,840","18,330",1898,No onsite parking available,CCMU,All available,,,,,"According to Washington County land records, the property dates in 1898, containing approximately 18,330 SFGBA along three levels.  The property was formerly office, institution, and special purpose.  Overall, the property was in fair condition.    "
01-2022-30600-005,Washington,Mixed,168 Cumberland Street,Clear Spring,MD,4,2032,341/ Parcel 358,,Semler,"Plante-Willis Properties, LLC",5/23/2018,5766/ 467,Leased Fee,Arms-Length,Unknown,"$258,000.00 ",$36.39 ,Unknown,Unknown,Unknown,"7,524","7,090",Unknown,Onsite parking available,TC,All available,,,,,"At the time of sale, the mixed-use 7,090 SF building with retail and two large residential apartment units.  The retail had been vacant for a year and was considered poor condition.  One of the apartment units had been renovation and was considered average (+) condition.  Overall, this building was in fair (-) condition.   "
01-2022-50000-008,Washington,Warehouse/ Flex,5 Nottingham Road,Hagerstown,MD,25,19237,305/ Parcel 2496,,Alice Cody,Hagerstown Health Spa LLC,11/30/2018,5879/ 163,Fee Simple,Arms-Length,95,"$113,000.00 ",$39.02 ,0.00%,Unknown,Unknown,"6,600","2,896",1967,Onsite parking available,CG,All available,,,,,"The property was originally constructed in 1967 and consists an open flex area, handicapped entrance and restroom. This property has visibility and access from its frontage roads.  "
01-2022-30000-005,Washington,Retail,20145 Leitersburg Pike,Hagerstown,MD,9,8292,25/ 22/ 410,,Ridenhour 1994 Family LLC,New Vision Theaters,2/11/2019,5917/ 351,Fee Simple,Arms-Length,Unknown,"$2,000,000.00 ",$55.20 ,0.00%,Unknown,Unknown,"821,542","36,233",1970,Onsite parking available,Ag,All available,,,,,Retail building constructed in 1970 and used as a cinema theater.
01-2022-30000-006,Washington,Retail,1308-1310 Dual Highway,Hagerstown,MD,10,2516,50/ 7/ 913 & 944,,Ali Real Estate LLC,The Salvation Army,12/5/2019,6128/ 250,Fee Simple,Arms-Length,Unknown,"$875,000.00 ",$39.54 ,0.00%,Unknown,Unknown,"20,250","22,132",1950,Onsite parking available,BG,All available,,,,,"The property is improved one-story retail building with a partially finished basement with approximately 22,132 square feet of gross building area.  The first floor has approximately 11,066 square feet of finished retail area, while the basement has approximately 5,062 square feet of finished retail area.  The remaining portion of the basement is unfinished storage.   According to Washington County land records, the building was constructed in 1950 with an addition in 1956.  At the time of the inspection, the building was in average condition, with some noticeable water damage on ceiling tiles throughout the building."
,,,,,,,23610,,,,,,,,,,,,,,,,,,,,,,,,,
01-2022-30600-006,Washington,Mixed,24-26 Franklin Street,Hagerstown,MD,22,5529,306/ Parcel 544,,"SD Miller, Successor Trustee of the Hagerstown Franklin 24 East Trust",Dynasty Capital Ventures LLC,5/14/2019,5997/ 153,Leased Fee,Arms-Length,Unknown,"$160,000.00 ",$9.44 ,Unknown,Unknown,Unknown,"9,430","16,942",1893,Onsite parking available,CCMU,All available,,,,,"Recently renovated mixed-use building, built in 1893, with two commercial retail spaces on the first floor and the potential for 17 rental units. Property was essentially a shell condition according to the broker."
01-2022-30600-007,Washington,Mixed,82 West Washington Street,Hagerstown,MD,25,"000889, 009231, 001672",306/ Parcel 75,,Bryan Properties LLC,The Bryan Centre LLC,3/20/2019,5942/ 68,Leased Fee,Arms-Length,Unknown,"$435,000.00 ",$18.49 ,Unknown,Unknown,Unknown,"29,195","15,983",,Onsite parking available,CCMU,All available,,,,,This office building was in poor condition throughout and was being sold for investment purposes. Property included two parking lots currently leased to the City of Hagerstown for metered parking.
01-2022-30600-008,Washington,Mixed,25-27 West Franklin Street,Hagerstown,MD,25,18907,306/ Parcel 142,,"Alexander Leigh Partners, LLC",Sanana Properties LLC,3/26/2018,5725/ 245,Leased Fee,Arms-Length,Unknown,"$300,000.00 ",$26.60 ,Unknown,Unknown,Unknown,"5,830","11,277",,No onsite parking available,CCMU,All available,,,,,Property was in poor condition. Subject property was eight apartment units and two retail units.
01-2011-VAC-007,Frederick,Vacant Land,Horine Road,Jefferson ,MD,14,313494,84/ 20/ 12,S/S Rt 340 W/S Horine Rd NR Jefferson,John Lovell,Frederick Baptist Church,2/22/2019,12845/ 183,Fee Simple,Arms-Length,Unknown,"$502,314.00 ",,,,,"2,188,019",,,,A,Private,,,,,"Property purchased as vacant and has been approved for the development of a 14,400SF sanctuary, 33,000SF multipurpose building, and 20,000SF school building for Frederick Baptist Church."
01-2007-VAC-004,Carroll,Vacant Land,Ebbvale Road,Manchester,MD,6,15107,14/ 23/ 166,SS Ebbvale Road,Alvin Schmidt,Darren Daneker,8/8/2018,9099/ 196,Fee Simple,Arms-Length,Unknown,"$120,000.00 ",,,,,"443,876",,,,AG,Private,,,,,"Property purchased as vacant, raw land."
01-2007-VAC-005,Carroll,Vacant Land,4995 Stoney Lane,Manchester,MD,6,18319,14/ 5/ 10,Stoney Lant Ipstone,Archie Warner ,Andrew & Christina Davis,6/5/2018,9038/ 60,Fee Simple,Arms-Length,Unknown,"$185,000.00 ",,,,,"1,030,630",,,,AG,Private,,,,,"Property purchased as vacant, raw land.  Since purchase, a new 4,104SF residential home has been constructed."
01-2011-VAC-008,Frederick,Vacant Land,206 Broadway ,Frederick,MD,2,93588,417/ 12/ 199A,Lot 13503 square feet/206 Broadway,JR Capital Broadway I LLC,Central Maryland Holding,3/13/2018,12837/ 278,Fee Simple,Arms-Length,Unknown,"$300,000.00 ",,,,,"13,503",,,,DR,All available,,,,,"The site is currently vacant, however the property has an approved site plan that allows for the improvement of the site with a 12 unit residential condominium building."
01-2011-VAC-009,Frederick,Vacant Land,Harvard Place,Frederick,MD,1,25899,94/ 2/ 89,Stanford Industrial Park,Bel Development Group LLC,Kind Ranch LLC,Pending,Pending,Fee Simple,Arms-Length,Unknown,"$375,000.00 ",,,,,"146,231",,,,LI,Private,,,,,"The site is located on Lot 8 of the Stanford Industrial Park containing 3.357 acres, or 146,231 square feet of land. The frontage is approximately 225 feet along the west side Harvard Place and approximately 261 feet along the north side of Winchester Boulevard. The shape, which is irregular, is generally level topography. The site is approximately 28% wooded and approximately 35% in flood plain along the wooded edge. The site is currently vacant but available for septic capacity rated for 840 god and well 40 gpm. Overall, the site is in average condition for"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,undeveloped land.
01-2017-VAC-001,Prince George,Vacant Land,37-51 B Street,Laurel ,MD,10,"1022904, 1110915, 1099084",Subdivision 4600,,City of Laurel Community Development Authority,Laurel Legacy LLC,11/15/2018,41769/ 87,Fee Simple,Arms-Length,Unknown,"$950,000.00 ",,,,,"31,500",,,,Commercial Village,All available,,,,,Purchased for potential commercial development.
01-2019-VAC-001,Saint Mary's,Vacant Land,44227 Clarkes Landing Road,Hollywood,MD,2,55613,,,Spranger,Martin,7/3/2018,4902/ 287,Fee Simple,Arms-Length,1826,"$92,500.00 ",,,,,"44,867",,,,TMX,Private,,,,,Purchased for residential development.
